E_i (MeV),B_i SMALL (s^-1)
0E+00,0E+00
4.22E-09,2.51E-07
1.33E-08,8.74E-07
4.21E-08,2.28E-06
1.33E-07,5.06E-06
4.2E-07,9.38E-06
1.33E-06,1.74E-05
4.19E-06,3.25E-05
1.32E-05,6.11E-05
4.18E-05,1.15E-04
1.32E-04,2.17E-04
4.17E-04,4.13E-04
1.32E-03,8.11E-04
4.16E-03,1.75E-03
1.31E-02,4.65E-03
4.15E-02,1.01E-02
1.17E-01,2.41E-02
3.2E-01,2.94E-02
5.24E-01,2.64E-02
7.27E-01,2.41E-02
9.3E-01,1.94E-02
1.13E+00,1.85E-02
1.34E+00,1.88E-02
1.54E+00,1.78E-02
1.74E+00,1.66E-02
1.95E+00,2.09E-02
2.15E+00,2.38E-02
2.35E+00,2.18E-02
2.56E+00,2.34E-02
2.76E+00,3.09E-02
2.96E+00,3.88E-02
3.17E+00,3.75E-02
3.37E+00,3.23E-02
3.57E+00,3E-02
3.78E+00,2.83E-02
3.98E+00,2.8E-02
4.18E+00,2.85E-02
4.39E+00,2.52E-02
4.59E+00,2.94E-02
4.79E+00,3.16E-02
5E+00,3.07E-02
5.2E+00,2.59E-02
5.4E+00,2.47E-02
5.61E+00,2.13E-02
5.81E+00,1.69E-02
6.01E+00,1.56E-02
6.22E+00,1.91E-02
6.42E+00,1.82E-02
6.62E+00,1.64E-02
6.83E+00,1.42E-02
7.03E+00,1.41E-02
7.23E+00,1.66E-02
7.44E+00,1.69E-02
7.64E+00,1.85E-02
7.84E+00,1.58E-02
8.05E+00,1.12E-02
8.25E+00,1.04E-02
8.45E+00,6.19E-03
8.66E+00,4.87E-03
8.86E+00,3.25E-03
9.06E+00,3.49E-03
9.27E+00,3.7E-03
9.47E+00,4.85E-03
9.67E+00,6.87E-03
9.88E+00,6.11E-03
1.01E+01,5.04E-03
1.03E+01,3.16E-03
1.05E+01,1.93E-03
1.07E+01,5.61E-04
1.09E+01,0E+00
1.11E+01,